,March_1,March_2,April,May,Week46,Week47 ,Week48,Week49,Week50,Week51,Week52,Week53
290,0,0.618188,0.618188,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0.67132885,0.67132885,0,0,0,0,0,0,0,0,0
293,0,0.695117995,0,0,0,0,0,0,0,0,0,0
294,0,0.167250566,0.167250566,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0,0,0
297,0,0.297953886,0.297953886,0,0,0,0,0,0,0,0,0
298,0,0.71017334,0.71017334,0,0,0,0,0,0,0,0,0
299,0,0.763778494,0.755174818,0,0,0,0,0,0,0,0,0
300,0,0.622557383,0.282741374,0,0,0,0,0,0,0,0,0
301,0,0.428763842,0.428763842,0,0,0,0,0,0,0,0,0
302,0,0.527403479,0.527403479,0,0,0,0,0,0,0,0,0
303,0,0.7385519,0.7385519,0,0,0,0,0,0,0,0,0
304,0,0.437980783,0.42643778,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0
306,0,0.535661816,0.532208189,0,0,0,0,0,0,0,0,0
307,0.182349802,0.362301087,0.355348496,0.156483097,0,0,0,0,0,0,0,0.127665867
308,0,0,0,0,0,0,0,0,0,0,0,0
309,0.60922058,0.696406026,0.661048877,0.647969387,0.600891282,0.600891282,0.600891282,0.600891282,0,0,0,0.600891282
310,0,0,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0,0,0
314,0,0.2160063,0.2160063,0,0,0,0,0,0,0,0,0
315,0,0.11009349,0.043697558,0.020088633,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0,0,0,0
319,0.610471953,0.8350095,0.8350095,0.8350095,0.444649722,0.444649722,0.444649722,0.444649722,0.444649722,0.444649722,0.444649722,0.444649722
320,0.605119626,0.805997792,0.647104009,0.605119626,0,0,0,0,0,0,0,0.605119626
321,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0.443235066,0.443235066,0,0,0,0,0,0,0,0,0
323,0,0.005396565,0.005396565,0,0,0,0,0,0,0,0,0
324,0,0.747556471,0.747556471,0,0,0,0,0,0,0,0,0
325,0,0.71955222,0,0,0,0,0,0,0,0,0,0
326,0,0.123599104,0.123599104,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0,0,0
328,0,0.010010161,0.010010161,0,0,0,0,0,0,0,0,0
329,0,0.597879064,0.597879064,0,0,0,0,0,0,0,0,0
330,0,0.760834069,0.760834069,0,0,0,0,0,0,0,0,0
331,0,0.748583719,0.713287035,0,0,0,0,0,0,0,0,0
332,0,0.611021717,0.261787847,0,0,0,0,0,0,0,0,0
333,0,0.53203823,0.53203823,0,0,0,0,0,0,0,0,0
334,0,0.615283786,0.615283786,0,0,0,0,0,0,0,0,0
335,0,0.7385519,0.7385519,0,0,0,0,0,0,0,0,0
336,0,0.614158004,0.61245302,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0,0,0
338,0,0.567654414,0.563856714,0,0,0,0,0,0,0,0,0
339,0.172768249,0.387956271,0.380180758,0.151181162,0,0,0,0,0,0,0,0.117629899
340,0,0,0,0,0,0,0,0,0,0,0,0
341,0.652430103,0.708264015,0.683629539,0.640718198,0,0.648204202,0.648204202,0.648204202,0,0,0,0.648204202
342,0,0,0,0,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0
346,0,0.2160063,0.2160063,0,0,0,0,0,0,0,0,0
347,0,0.090656846,0.033100375,0.01391359,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0
351,0.693298472,0.8350095,0.8350095,0.8350095,0.523747457,0.523747457,0.523747457,0.523747457,0.523747457,0.523747457,0.523747457,0.523747457
352,0.638734007,0.803550652,0.684455993,0.638734007,0,0,0,0,0,0,0,0.638734007
353,0,0,0,0,0,0,0,0,0,0,0,0
354,0,0.329626642,0.329626642,0,0,0,0,0,0,0,0,0
355,0,0.002113096,0.002113096,0,0,0,0,0,0,0,0,0
356,0,0.662255641,0.662255641,0,0,0,0,0,0,0,0,0
357,0,0.699593016,0,0,0,0,0,0,0,0,0,0
358,0,0.058565769,0.058565769,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0.009391443,0.009391443,0,0,0,0,0,0,0,0,0
361,0,0.553514084,0.553514084,0,0,0,0,0,0,0,0,0
362,0,0.730802216,0.730802216,0,0,0,0,0,0,0,0,0
363,0,0.749822101,0.742553684,0,0,0,0,0,0,0,0,0
364,0,0.559691464,0.42333553,0,0,0,0,0,0,0,0,0
365,0,0.199076224,0.199076224,0,0,0,0,0,0,0,0,0
366,0,0.59543243,0.59543243,0,0,0,0,0,0,0,0,0
367,0,0.7385519,0.7385519,0,0,0,0,0,0,0,0,0
368,0,0.257956837,0.21580042,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0.50845078,0.503758806,0,0,0,0,0,0,0,0,0
371,0.211120467,0.382998697,0.374245398,0.18707424,0,0,0,0,0,0,0,0.155682416
372,0,0,0,0,0,0,0,0,0,0,0,0
373,0.598295156,0.699490124,0.617906101,0.649020105,0,0,0,0,0,0,0,0.582987642
374,0,0,0,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,0
378,0,0.2160063,0.2160063,0,0,0,0,0,0,0,0,0
379,0,0.140827366,0.055382994,0.029599225,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0,0,0
383,0.561662479,0.8350095,0.8350095,0.8350095,0.294923537,0.294923537,0.294923537,0.294923537,0.294923537,0.294923537,0.294923537,0.294923537
384,0.649185336,0.794838815,0.686775739,0.649185336,0,0,0,0,0,0,0,0.649185336
385,0,0,0,0,0,0,0,0,0,0,0,0
386,0,0.120730801,0.120730801,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0.720001389,0.720001389,0,0,0,0,0,0,0,0,0
389,0,0.642255508,0,0,0,0,0,0,0,0,0,0
390,0,0.064216093,0.064216093,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0,0
